,PHONE,PRICE
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
1,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
2,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
3,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
4,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74
5,P47 Wireless Headset - White,GH₵ 29.47
6,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00
7,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00
8,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
9,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00
10,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00
11,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 22.00
12,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00
13,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 562.68
14,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 64.17
15,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00
16,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00
17,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 69.00
18,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 251.00
19,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 139.00
20,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Green,GH₵ 285.00
21,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 165.00
22,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00
23,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 290.00
24,Bontel Sleek Dual SIM Phone with FM Radio + FREE MP3 Player & Earpiece,GH₵ 83.00
25,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 130.00
26,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00
27,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 97.00
28,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00
29,Nokia Asha 210 Bluetooth Wi-Fi Mobile Phone -white,GH₵ 175.00
30,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
31,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00
32,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 562.68
33,M40 Pro Android  512gb Dual Sim 6.1 OLed Touch Screen - Orange,GH₵ 499.00
34,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 432.00
35,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 585.20
36,"BEBE TAB B52 Kids Educational Tablet - 16GB HDD - 1GB RAM - 7.0"" - Blue/Orange + Free Kids Backpack",GH₵ 380.00
37,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 432.00
38,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
39,X Tigi A10C  6.3'' - 32GB HDD - 2GB RAM - Fingerprint - Black,GH₵ 449.00
40,Itel A56 (2020) - 16GB HDD - 1GB RAM - 4000mAh - Blue,GH₵ 390.00
41,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 422.28
42,XIAOMI Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -   Granite Gray,GH₵ 635.00
43,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00
44,Tecno Pop 5 - 16GB HDD - 1GB RAM - Dual SIM - Obsidian Black,GH₵ 458.00
45,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
46,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00
47,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
48,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
49,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
50,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
51,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74
52,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
53,P47 Wireless Headset - White,GH₵ 29.47
54,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00
55,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00
56,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
