Timestamp,program,number of courses,year,curricular activities,time after  curricular activities,courses in week,"7. On average, how many assignments do you receive per week?",8.How often do you submit these assignments on time?,9. Do you wait until the last minute to study before examination?,10. Are you able to cover enough topics  before examination?,"11. In preparing for an academic work deadline, I often waste my time by doing other things ",12. I would classify myself as someone who is generally:
2021/07/14 3:23:00 PM GMT,Bsc Statistics ,7,Third,"No(If no,please move to question 6)",,4,3,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/14 3:25:24 PM GMT,BSc.Statistics,7,Third,"No(If no,please move to question 6)",,4,2,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/14 3:26:11 PM GMT,Statistics,7,Third,"No(If no,please move to question 6)",,7,5,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/14 3:28:54 PM GMT,Bsc statistics ,7,Third,Yes,Sometimes,5,9,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/14 3:32:10 PM GMT,Statistics,7,Fourth,"No(If no,please move to question 6)",,5,3,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/14 3:36:15 PM GMT,Bsc Statistics,7,Third,Yes,Sometimes,1,2,Very Often,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/14 3:38:51 PM GMT,Logistics and supply chain management,6,First,"No(If no,please move to question 6)",,2,2,Very Often,Sometimes,Yes,Sometimes,Needs reminding to get things done on time
2021/07/14 3:47:07 PM GMT,Bsc Statistics,7,Third,Yes,Not at all,7,1,Very Often,No,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/14 3:47:37 PM GMT,BA. Economics ,7,Third,Yes,Always,5,5,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/14 3:49:34 PM GMT,BSC FASHION DESIGN ,6,First,"No(If no,please move to question 6)",,3,4,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/14 3:54:17 PM GMT,Quantity suverying and construction economics,9,First,"No(If no,please move to question 6)",,5,5,Very Often,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/14 3:57:43 PM GMT,MPhil Pharmaceutical chemistry,4,Other:_____________________________________________________________,Yes,Sometimes,3,1,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/14 4:03:14 PM GMT,Bsc chemistry,7,First,Yes,Always,7,1,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/14 4:04:23 PM GMT,Logistics ,8,First,"No(If no,please move to question 6)",,6,6,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/14 4:04:30 PM GMT,BSc statistics ,7,Third,Yes,Sometimes,2,5,Very Often,Yes,No,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/14 4:22:34 PM GMT,B.A Economics,7,Third,Yes,Sometimes,6,3,Very Often,Sometimes,No,Never,Puts things off until the last minute or doesn't complete them
2021/07/14 4:36:21 PM GMT,BSC statistics,7,Third,Yes,Sometimes,7,2,Very Often,Yes,Yes,Sometimes,Self motivated and always gets things done on time
